title,n_enrolled,Level,language,prices,category,course_duration
Gestión del estrés y Mindfulness,15965.0,Introductory,Spanish,49.0,Health & Safety,16.0
Behavioural Economics in Action,66764.0,Introductory,English,139.0,Business,24.0
Finance for Everyone: Smart Tools for Decision-Making,45029.0,Introductory,English,49.0,Business,36.0
Creating Innovative Business Models,12227.0,Introductory,English,149.0,Business,8.0
u.lab: Leading From the Emerging Future,79424.0,Introductory,English,99.0,Business,70.0
Electric Cars: Introduction,56171.0,Intermediate,English,50.0,Science,16.0
Inteligencia Artificial para todos: Domina los fundamentos,11764.0,Introductory,Spanish,49.0,Science,8.0
Marketing Analytics,55228.0,Advanced,English,249.0,Business,108.0
Introducción a la Regulación Emocional basada en Mindfulness,20634.0,Introductory,Spanish,49.0,Health & Safety,24.0
Design Thinking Fundamentals,56446.0,Intermediate,English,299.0,Business,60.0
Basic Spanish 3: Getting there,17569.0,Introductory,English,50.0,Education,16.0
Mi propia huerta orgánica,11346.0,Introductory,Spanish,29.0,Education,8.0
Sustainability in Architecture: An Interdisciplinary Introduction,31352.0,Intermediate,English,50.0,Education,16.0
Gestión de riesgos en proyectos de desarrollo,47676.0,Intermediate,Spanish,25.0,Business,20.0
Python Data Structures,36369.0,Introductory,English,49.0,Science,21.0
The Science and Business of Biotechnology,17039.0,Intermediate,English,49.0,Business,176.0
Finance Essentials,63666.0,Introductory,English,79.0,Business,18.0
Introduction to the Internet of Things (IoT),89421.0,Introductory,English,149.0,Science,12.0
'Talk to me': Improving mental health and suicide prevention in young adults,11481.0,Introductory,English,139.0,Health & Safety,12.0
Disaster Medicine Training,10937.0,Introductory,English,50.0,Education,16.0
Nutrition and Health: Human Microbiome,44079.0,Introductory,English,49.0,Health & Safety,24.0
Customer Relationship Management,53085.0,Intermediate,English,50.0,Business,24.0
Islam Through Its Scriptures,65430.0,Introductory,English,99.0,Education,32.0
Mechatronics Revolution: Fundamentals and Core Concepts,11619.0,Introductory,English,149.0,Science,112.0
Accounting for Decision-Making,57710.0,Intermediate,English,150.0,Business,28.0
C Programming: Language Foundations,46400.0,Introductory,English,49.0,Science,21.0
Big Data sin misterios,65564.0,Intermediate,Spanish,25.0,Science,40.0
Becoming a Successful Leader (Inclusive Leadership Training),215705.0,Introductory,English,49.0,Comunication,8.0
"English for Journalists, Part 1",50847.0,Intermediate,English,139.0,Comunication,20.0
Introduction to Networking,16134.0,Introductory,English,150.0,Science,28.0
Accounting Essentials,58463.0,Introductory,English,79.0,Business,24.0
Introduction to Java Programming: Starting to code in Java,325554.0,Introductory,English,149.0,Science,40.0
European Paintings: From Leonardo to Rembrandt to Goya,60734.0,Introductory,English,99.0,Education,14.0
Java Programming Fundamentals,12042.0,Intermediate,English,49.0,Science,45.0
"Hollywood: History, Industry, Art",50033.0,Introductory,English,169.0,Comunication,16.0
Data Science Tools,15627.0,Introductory,English,39.0,Science,35.0
Statistical Thinking for Data Science and Analytics,198861.0,Introductory,English,99.0,Science,40.0
Philosophy and Critical Thinking,97175.0,Introductory,English,99.0,Education,12.0
International Law,91868.0,Advanced,English,150.0,Education,84.0
Tourism and Travel Management,38503.0,Introductory,English,5.0,Business,14.0
Project Management Life Cycle,120019.0,Intermediate,English,150.0,Business,100.0
Solar Energy,125069.0,Introductory,English,50.0,Science,56.0
Public Speaking,10129.0,Introductory,English,199.0,Comunication,15.0
Japanese Pronunciation for Communication,62757.0,Introductory,Japanese,99.0,Comunication,20.0
Mindfulness and Resilience to Stress at Work,33414.0,Introductory,English,199.0,Business,8.0
Framing Your Communication to Inspire and Convince,49351.0,Intermediate,English,125.0,Business,20.0
Business Foundations,55154.0,Introductory,English,150.0,Business,24.0
The Chemistry of Life,78704.0,Introductory,English,49.0,Education,26.0
Nutrition and Health: Micronutrients and Malnutrition,78266.0,Intermediate,English,99.0,Education,49.0
Digital Design,12339.0,Introductory,English,50.0,Business,30.0
Machine Learning for Data Science and Analytics,140419.0,Introductory,English,99.0,Science,40.0
The Science of Everyday Thinking,318399.0,Introductory,English,99.0,Business,24.0
Gestion de projets de développement,41663.0,Intermediate,French,25.0,Business,40.0
Product Management Fundamentals,11913.0,Introductory,English,199.0,Business,8.0
International Human Rights Law,74424.0,Advanced,English,150.0,Education,84.0
The Best Start in Life: Early Childhood Development for Sustainable Development,23139.0,Intermediate,English,49.0,Education,24.0
Data Science and Machine Learning Capstone Project,21809.0,Intermediate,English,99.0,Science,24.0
"Data Science for Construction, Architecture and Engineering",11113.0,Introductory,English,199.0,Science,35.0
"Nutrition, Heart Disease and Diabetes",24986.0,Intermediate,English,99.0,Business,35.0
Project Management for Development,62099.0,Intermediate,English,49.0,Business,40.0
Introduction to Cloud Infrastructure Technologies,86923.0,Introductory,English,169.0,Science,56.0
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",13566.0,Introductory,English,65.0,Education,25.0
Machine Learning,150855.0,Advanced,English,249.0,Science,108.0
Introducción a la gestión de proyectos,98517.0,Introductory,Spanish,50.0,Business,20.0
Free Cash Flow Analysis,36085.0,Introductory,English,225.0,Business,20.0
Lean Production,55926.0,Introductory,English,99.0,Business,24.0
Introduction to Algebra,131197.0,Introductory,English,139.0,Education,20.0
"LaTeX for Students, Engineers, and Scientists",11823.0,Introductory,English,139.0,Science,28.0
Leading With Effective Communication (Inclusive Leadership Training),107770.0,Introductory,English,50.0,Comunication,8.0
Anatomy: Musculoskeletal and Integumentary Systems,51969.0,Introductory,English,49.0,Education,8.0
"Inglés empresarial: ventas, gestión y liderazgo",10897.0,Introductory,English,49.0,Business,24.0
Business Strategy from Wharton: Competitive Advantage,26675.0,Intermediate,English,199.0,Business,24.0
Inteligencia emocional para el liderazgo efectivo y colaboración,14726.0,Introductory,Spanish,49.0,Education,16.0
Introducción al desarrollo de aplicaciones web,27757.0,Introductory,Spanish,49.0,Science,20.0
"Six Sigma: Analyze, Improve, Control",56016.0,Introductory,English,99.0,Business,32.0
Introducción a la inteligencia emocional,18830.0,Introductory,Spanish,49.0,Education,16.0
AP® Microeconomics,53664.0,Introductory,English,49.0,Business,48.0
Engineering Calculus and Differential Equations,21535.0,Introductory,English,50.0,Education,24.0
Linear Algebra - Foundations to Frontiers,88570.0,Intermediate,English,49.0,Science,120.0
Habilidades de negociación y comunicación efectiva,19614.0,Introductory,Spanish,149.0,Business,24.0
Effective Communication for Today's Leader,8862.0,Intermediate,English,149.0,Business,24.0
Electric Cars: Technology,40972.0,Intermediate,English,50.0,Science,16.0
Site Planning Online,12948.0,Intermediate,English,99.0,Business,50.0
Macroeconometric Forecasting,69358.0,Intermediate,English,25.0,Business,81.0
Administración pública y fiscal: cómo se gestiona un gobierno,49189.0,Introductory,Spanish,25.0,Business,40.0
Fundamentals of Red Hat Enterprise Linux,53788.0,Introductory,English,99.0,Science,18.0
Algorithms,61722.0,Intermediate,English,149.0,Science,42.0
Calculus Applied!,54976.0,Intermediate,English,99.0,Education,40.0
Precalculus,55576.0,Intermediate,English,49.0,Education,150.0
Fundamentos de anatomía y técnica quirúrgica básica,12133.0,Introductory,Spanish,49.0,Education,20.0
Business Communications,60713.0,Introductory,English,150.0,Business,24.0
Italian Language and Culture: Intermediate (2019-2020),35058.0,Intermediate,Italian,49.0,Education,48.0
International Women's Health and Human Rights,9796.0,Introductory,English,50.0,Education,30.0
Blockchain: Understanding Its Uses and Implications,66769.0,Introductory,English,199.0,Business,28.0
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",22366.0,Intermediate,English,49.0,Education,21.0
Blockchain Technology,55376.0,Intermediate,English,99.0,Science,24.0
Basics of Power BI,8314.0,Introductory,English,49.0,Science,6.0
Preparing to Network in English,34337.0,Introductory,English,149.0,Education,24.0
Mandarin Chinese Essentials,36665.0,Introductory,English,99.0,Education,35.0
Human Rights: The Rights of Refugees,84270.0,Introductory,English,49.0,Education,12.0
What do Architects and Urban Planners do?,11046.0,Introductory,English,49.0,Education,6.0
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723.0,Introductory,English,49.0,Education,12.0
Negotiation Skills and Effective Communication,8146.0,Intermediate,English,149.0,Business,24.0
AP® English Literature & Composition – Part 1: Stories,15650.0,Introductory,English,49.0,Education,28.0
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710.0,Introductory,English,149.0,Education,14.0
Alianzas: un vehículo para lograr el desarrollo sostenible,17554.0,Introductory,Spanish,25.0,Education,40.0
Designing and Creating Skirts,13954.0,Introductory,English,99.0,Business,20.0
Cómo Aprender Online,7958.0,Introductory,Spanish,49.0,Education,4.0
Computing in Python II: Control Structures,31511.0,Introductory,English,99.0,Science,50.0
Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,29614.0,Introductory,Spanish,49.0,Comunication,20.0
Machine Learning Fundamentals,82008.0,Advanced,English,350.0,Science,90.0
Pre-University Calculus,103224.0,Introductory,English,50.0,Education,56.0
Tsinghua Chinese: Start Talking with 1.3 Billion People,58834.0,Introductory,English,49.0,Education,12.0
Deep Learning with Python and PyTorch,36195.0,Intermediate,English,99.0,Science,18.0
Diseña presentaciones eficaces con Powerpoint,36663.0,Introductory,Spanish,50.0,Science,21.0
World of Wine: From Grape to Glass,81839.0,Introductory,English,199.0,Science,12.0
Sustainable Cities,16619.0,Intermediate,English,49.0,Education,45.0
Introduction to Developmental Psychology,38060.0,Introductory,English,99.0,Education,16.0
Creativity & Entrepreneurship,69413.0,Introductory,English,49.0,Business,16.0
College Algebra and Problem Solving,103010.0,Introductory,English,49.0,Education,120.0
Academic writing for clarity and meaning,16220.0,Introductory,English,49.0,Education,4.0
Financial Development and Financial Inclusion,13853.0,Intermediate,English,25.0,Business,63.0
Global Public Health,17273.0,Intermediate,English,49.0,Health & Safety,50.0
Embedded Systems - Shape The World: Microcontroller Input/Output,69182.0,Intermediate,English,49.0,Science,72.0
Introduction to Animal Behaviour,42135.0,Introductory,English,49.0,Education,30.0
Circular Economy: An Introduction,50240.0,Introductory,English,50.0,Business,28.0
Public Financial Management,23288.0,Intermediate,English,25.0,Business,40.0
Anatomy: Human Neuroanatomy,49319.0,Introductory,English,49.0,Education,32.0
Android: Introducción a la Programación,85786.0,Introductory,Spanish,50.0,Science,40.0
The Ancient Greek Hero,51744.0,Introductory,English,99.0,Education,180.0
Agile Leadership Principles and Practices,31838.0,Advanced,English,199.0,Science,8.0
How to Code: Simple Data,98113.0,Introductory,English,125.0,Science,14.0
Cybersecurity and Privacy in the IoT,21440.0,Introductory,English,199.0,Science,25.0
Strategic Management,71085.0,Introductory,English,150.0,Business,20.0
Introducción a la ciencia de datos y sus aplicaciones,7303.0,Introductory,Spanish,39.0,Science,24.0
"Biochemistry: Biomolecules, Methods, and Mechanisms",18692.0,Intermediate,English,150.0,Education,48.0
Astronomía Virtual,10500.0,Introductory,Spanish,29.0,Science,42.0
Nutrition and Cancer,27144.0,Intermediate,English,99.0,Business,35.0
Build your very first iOS app,31570.0,Introductory,English,149.0,Science,72.0
Object-Oriented Programming,93633.0,Introductory,English,149.0,Science,28.0
Introduction to Jenkins,7233.0,Introductory,English,199.0,Science,20.0
Conducting an Informational Interview,15594.0,Introductory,English,99.0,Education,32.0
Liderazgo y comportamiento organizacional,21419.0,Introductory,Spanish,149.0,Business,24.0
Creative Coding,18660.0,Introductory,English,249.0,Business,126.0
Análisis estadístico con Excel,22717.0,Introductory,Spanish,49.0,Science,16.0
Introducción a la Ingeniería del Software,17931.0,Introductory,Spanish,49.0,Science,20.0
Computer Graphics,98553.0,Intermediate,English,99.0,Science,54.0
Data Science: Computational Thinking with Python,78232.0,Introductory,English,199.0,Science,25.0
Comunicación efectiva para el líder actual,18470.0,Introductory,Spanish,149.0,Comunication,24.0
Debate y argumentación,10954.0,Introductory,Spanish,49.0,Education,20.0
Deep Learning with Tensorflow,37564.0,Intermediate,English,99.0,Science,15.0
Machine Learning (aprendizaje automático) con Python: una introducción práctica,39155.0,Introductory,Spanish,49.0,Science,25.0
Essential Human Biology: Cells and Tissues,67961.0,Introductory,English,169.0,Education,10.0
