course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,language,rating
575676,Fundamentals of Investing!,Paid,20,3125,54,13,Beginner,2.0,2015-08-09,Business Finance,English,4.5
1105216,Bank Financial Management A Comprehensive Study,Paid,50,1081,6,21,All Levels,1.5,2017-02-10,Business Finance,English,4.234613666815543
936328,Learn to Trade Forex and Stocks: From Beginner to Advanced,Paid,200,1645,25,42,All Levels,2.0,2016-09-07,Business Finance,English,4.234613666815543
43441,"Master 'Technical Analysis and Chart reading skills Bundle""",Paid,120,3348,352,13,All Levels,3.0,2013-02-25,Business Finance,English,4.2
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,Paid,200,939,7,19,All Levels,1.5,2017-02-10,Business Finance,English,3.9
584410,The Ultimate Guide to Dividend & Dividend Growth Investing,Paid,200,2115,59,88,All Levels,5.5,2015-11-13,Business Finance,English,4.0
625568,Charting for Beginners 101: Technical Analysis Demystified,Paid,45,2230,102,10,All Levels,1.5,2015-10-09,Business Finance,English,4.6
297742,Build a DCF Valuation Model,Paid,50,2053,234,44,All Levels,5.5,2014-10-01,Business Finance,English,4.5
24877,Introductory Financial Accounting,Paid,80,1793,265,54,Beginner,10.0,2012-10-03,Business Finance,English,4.9
1188742,Introduction to Cryptocurrencies and Blockchain,Free,0,3775,138,11,Beginner,2.0,2017-05-01,Business Finance,English,4.2
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,Paid,200,521,67,24,All Levels,3.0,2016-02-24,Business Finance,English,3.8
415802,Accounting Standards Basics (Professional Course Level),Paid,20,2222,9,12,All Levels,0.7,2015-02-07,Business Finance,English,4.234613666815543
323950,Use the Magic Multiple Moving Average Forex Trading system,Paid,50,1097,252,10,Intermediate,1.0,2014-11-08,Business Finance,English,4.1
488818,QuickBooks 2015 Training for Newbies,Paid,200,2506,21,76,Beginner,6.0,2015-05-11,Business Finance,English,3.9
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,Paid,120,975,23,23,Intermediate,1.0,2015-09-30,Business Finance,English,4.0
638980,Option Trading: How to Adjust Delta-Neutral Strangles!,Paid,145,1398,15,26,All Levels,1.5,2015-10-19,Business Finance,English,3.2
599684,Profitable binary option trading strategy,Paid,195,1096,24,24,All Levels,1.5,2015-10-29,Business Finance,English,4.234613666815543
332848,Tax Strategy: Financial Planning for Beginners,Paid,200,1703,59,25,All Levels,2.0,2014-11-04,Business Finance,English,4.3
354324,Accounting 2 Simplified for You,Paid,45,1446,23,27,Beginner,5.0,2014-12-09,Business Finance,English,4.8
379682,Project Funding Modelling (for Professionals),Paid,20,2736,3,8,All Levels,1.5,2014-12-29,Business Finance,English,4.234613666815543
